instance,avg gap,std_dev,max gap,min gap,trials
tai35b.dat,65.58073189409069,31.810076849501897,102.81273264152613,8.020703918912716,5
tai15a.dat,12.776561381093932,15.37928223477605,33.92922460292519,0.0,5
tai35a.dat,16.36409879100017,7.296642522849778,21.514102795951448,2.001236993198189,5
tai15b.dat,218.9758507576934,435.58959205512963,1090.150712636125,0.21199156160072424,5
tai80b.dat,44.02662945676085,19.42322692428218,60.407278950760926,6.234573940987544,5
tai150b.dat,25.922788901187296,8.841663677515065,32.13623668339657,8.396289609830067,5
tai80a.dat,13.217960433756591,5.241378712844584,16.207838933079213,2.7508477549457804,5
tai100a.dat,12.04854196178253,4.783429518891463,15.221019713320045,2.542096493588922,5
tai25a.dat,17.836498591568603,7.852380468481356,22.715325515568136,2.18461074520071,5
tai100b.dat,42.14851607058818,19.974972568396506,57.0372260833089,2.629573067487993,5
tai25b.dat,113.54701981567045,44.63345191733688,153.55620102131272,27.551337142879312,5
tai64c.dat,42.75185244255165,25.439570844569037,70.01855675435685,0.4718933062058442,5
tai12a.dat,1.6811635534008267,1.3726642933320816,2.801939255668045,0.0,5
tai12b.dat,8.9298388379048,7.3413893323150425,21.32261242102956,1.1034101800522869,5
tai50b.dat,53.649369979307224,25.297266853649003,71.61763143728065,3.781000532283232,5
tai50a.dat,15.997963876215985,6.995186469531907,22.118872696908316,2.2878855494335055,5
tai30b.dat,93.38541214164498,41.215784344843605,123.10781832664414,13.759938826191913,5
tai30a.dat,18.127125104364556,8.578291179755583,23.194836938287683,1.0136699692983953,5
tai40a.dat,15.899368344604174,7.298923578703034,20.16678505560033,1.3826340953758238,5
tai17a.dat,17.474400787292705,13.634358610176339,31.168820606247916,1.035761632493717,5
tai256c.dat,18.627929207283746,3.738100861365816,23.503717462567664,12.40627253861511,5
tai60b.dat,49.02042911289072,22.811158874221114,62.7911930966444,3.537436283186769,5
tai40b.dat,62.38901284459132,29.947655785196424,83.94938598035635,4.564788972271564,5
tai60a.dat,14.798268433832984,6.623157765382594,19.587169624263908,1.6878246096773755,5
tai20a.dat,18.717522267805002,14.630037215076303,33.207104090794076,0.8480671857986416,5
tai20b.dat,79.59286570475555,63.60064509651735,165.51640276238226,11.193516224476946,5
