instance,avg gap,std_dev,max gap,min gap,trials
bur26h.dat,12.316778748884648,0.0,12.316778748884648,12.316778748884648,1
bur26e.dat,12.951061273141647,0.0,12.951061273141647,12.951061273141647,1
bur26d.dat,12.060922871592226,0.0,12.060922871592226,12.060922871592226,1
bur26f.dat,13.061164809293599,0.0,13.061164809293599,13.061164809293599,1
bur26g.dat,11.443810582641078,0.0,11.443810582641078,11.443810582641078,1
bur26c.dat,11.887697987486169,0.0,11.887697987486169,11.887697987486169,1
bur26b.dat,12.67110406584645,0.0,12.67110406584645,12.67110406584645,1
bur26a.dat,11.562726312821676,0.0,11.562726312821676,11.562726312821676,1
