instance,avg gap,std_dev,max gap,min gap,trials
tai35b.dat,94.4460825282575,0.0,94.4460825282575,94.4460825282575,1
tai15a.dat,23.555049534535076,0.0,23.555049534535076,23.555049534535076,1
tai35a.dat,20.862575670870626,0.0,20.862575670870626,20.862575670870626,1
tai15b.dat,677.9926803431212,0.0,677.9926803431212,677.9926803431212,1
tai80b.dat,49.15503367647654,0.0,49.15503367647654,49.15503367647654,1
tai150b.dat,30.15266811486643,0.0,30.15266811486643,30.15266811486643,1
tai80a.dat,15.449763482000098,0.0,15.449763482000098,15.449763482000098,1
tai100a.dat,15.18602143805861,0.0,15.18602143805861,15.18602143805861,1
tai25a.dat,22.303590643355015,0.0,22.303590643355015,22.303590643355015,1
tai100b.dat,55.214864498331835,0.0,55.214864498331835,55.214864498331835,1
tai25b.dat,124.80054733878242,0.0,124.80054733878242,124.80054733878242,1
tai64c.dat,197.98968494467456,0.0,197.98968494467456,197.98968494467456,1
tai12a.dat,42.5851989162983,0.0,42.5851989162983,42.5851989162983,1
tai12b.dat,172.33492018545581,0.0,172.33492018545581,172.33492018545581,1
tai50b.dat,69.85552532402268,0.0,69.85552532402268,69.85552532402268,1
tai50a.dat,18.08351671136042,0.0,18.08351671136042,18.08351671136042,1
tai30b.dat,80.65506050847515,0.0,80.65506050847515,80.65506050847515,1
tai30a.dat,24.351289720407493,0.0,24.351289720407493,24.351289720407493,1
tai40a.dat,19.73147478634248,0.0,19.73147478634248,19.73147478634248,1
tai17a.dat,31.228192886712808,0.0,31.228192886712808,31.228192886712808,1
tai256c.dat,100.8608268039259,0.0,100.8608268039259,100.8608268039259,1
tai60b.dat,77.26716609681286,0.0,77.26716609681286,77.26716609681286,1
tai40b.dat,72.19176031731851,0.0,72.19176031731851,72.19176031731851,1
tai60a.dat,18.540869352350178,0.0,18.540869352350178,18.540869352350178,1
tai20a.dat,25.62140893441481,0.0,25.62140893441481,25.62140893441481,1
tai20b.dat,132.2596064610309,0.0,132.2596064610309,132.2596064610309,1
