instance,avg gap,std_dev,max gap,min gap,trials
tai35b.dat,33.83187753848012,10.380916600173633,43.95470709336019,13.909018973533193,5
tai15a.dat,6.392144538836827,4.160737122294816,13.34573199317902,2.274003513526045,5
tai35a.dat,11.101047810860601,1.4778861805157963,13.31823838295757,8.817251183112152,5
tai15b.dat,434.998775626932,532.133392806406,1087.209331167763,0.37013041253838386,5
tai80b.dat,27.877134438253478,3.047779749429962,30.920625074580894,22.250996063375144,5
tai150b.dat,18.05057104783926,1.4959477922316813,20.45129535978858,15.892213971060936,5
tai80a.dat,9.800536091663023,0.7912438396826773,10.595944169662403,8.36583900182411,5
tai100a.dat,9.469953781186488,0.4791366079907428,9.891905299835184,8.581806995912023,5
tai25a.dat,12.35612410645137,2.2961496917416366,14.294893322458826,7.933306832434359,5
tai100b.dat,25.2922315715772,2.6275933368751674,28.74557819913034,21.356532040711024,5
tai25b.dat,38.488245318329994,19.164597130988373,61.362335845075705,4.235235626135196,5
tai64c.dat,14.61140733907781,7.210508371603932,26.56547021220651,4.109103370389368,5
tai12a.dat,7.471481534293455,9.336445616729376,25.762868957650078,0.0,5
tai12b.dat,5.415441686510237,10.147684565738162,25.69372930519949,0.028957358971289062,5
tai50b.dat,36.353467616471875,9.328495796020821,44.68742057709556,18.82461628319842,5
tai50a.dat,11.58507458093025,0.9553261262824373,12.62773356097316,9.811824582347601,5
tai30b.dat,37.17204764518702,15.689280438325222,55.623686096154195,9.628637145083246,5
tai30a.dat,11.38148421523904,1.8318027071066851,12.97420559185016,7.910475836373976,5
tai40a.dat,11.531842376018117,1.9056041741141958,14.039058792050634,8.542287146784227,5
tai17a.dat,9.402373264580774,3.2305839716205544,12.595463307117354,5.348791814758485,5
tai256c.dat,9.838355359224389,1.0323958816664969,11.639750171215837,8.527140754275525,5
tai60b.dat,30.435181171954355,7.9426166289410185,39.37797468590772,16.424248354760387,5
tai40b.dat,32.82536273292449,6.772486464156572,38.886521985997895,20.114780119558173,5
tai60a.dat,10.81365125156086,0.7075046138219998,11.448880801758321,9.437601808058382,5
tai20a.dat,11.688031818866722,3.68952749569386,15.548087939705635,6.364057644687426,5
tai20b.dat,41.40007131907434,36.059900159871724,84.6203585489006,3.6894738725069183,5
