instance,avg gap,std_dev,max gap,min gap,trials
tai35b.dat,114.0027283016639,0.0,114.0027283016639,114.0027283016639,1
tai15a.dat,29.302910250531923,0.0,29.302910250531923,29.302910250531923,1
tai35a.dat,22.448618952420354,0.0,22.448618952420354,22.448618952420354,1
tai15b.dat,435.2370570166854,0.0,435.2370570166854,435.2370570166854,1
tai80b.dat,51.35201369948426,0.0,51.35201369948426,51.35201369948426,1
tai150b.dat,30.956944522875855,0.0,30.956944522875855,30.956944522875855,1
tai80a.dat,16.476418130162536,0.0,16.476418130162536,16.476418130162536,1
tai100a.dat,15.299309829071806,0.0,15.299309829071806,15.299309829071806,1
tai25a.dat,24.761663251249082,0.0,24.761663251249082,24.761663251249082,1
tai100b.dat,53.45687361205967,0.0,53.45687361205967,53.45687361205967,1
tai25b.dat,138.23338502775704,0.0,138.23338502775704,138.23338502775704,1
tai64c.dat,184.9359457910005,0.0,184.9359457910005,184.9359457910005,1
tai12a.dat,40.039034649935836,0.0,40.039034649935836,40.039034649935836,1
tai12b.dat,148.87051730112245,0.0,148.87051730112245,148.87051730112245,1
tai50b.dat,71.10400426142176,0.0,71.10400426142176,71.10400426142176,1
tai50a.dat,19.050027577571537,0.0,19.050027577571537,19.050027577571537,1
tai30b.dat,80.8179079628646,0.0,80.8179079628646,80.8179079628646,1
tai30a.dat,22.424271758153637,0.0,22.424271758153637,22.424271758153637,1
tai40a.dat,21.055944345521553,0.0,21.055944345521553,21.055944345521553,1
tai17a.dat,27.766707603718494,0.0,27.766707603718494,27.766707603718494,1
tai256c.dat,116.87252260949424,0.0,116.87252260949424,116.87252260949424,1
tai60b.dat,74.8948935091633,0.0,74.8948935091633,74.8948935091633,1
tai40b.dat,71.84295848234657,0.0,71.84295848234657,71.84295848234657,1
tai60a.dat,18.791439644005894,0.0,18.791439644005894,18.791439644005894,1
tai20a.dat,27.98337413039708,0.0,27.98337413039708,27.98337413039708,1
tai20b.dat,83.9974938124166,0.0,83.9974938124166,83.9974938124166,1
