instance,avg gap,std_dev,max gap,min gap,trials
tai35b.dat,38.59884059621247,0.0,38.59884059621247,38.59884059621247,1
tai15a.dat,12.495685369409655,0.0,12.495685369409655,12.495685369409655,1
tai35a.dat,15.176535774949814,0.0,15.176535774949814,15.176535774949814,1
tai15b.dat,1.533056875123297,0.0,1.533056875123297,1.533056875123297,1
tai80b.dat,38.005324885016805,0.0,38.005324885016805,38.005324885016805,1
tai150b.dat,25.769236535031165,0.0,25.769236535031165,25.769236535031165,1
tai80a.dat,13.13892750850718,0.0,13.13892750850718,13.13892750850718,1
tai100a.dat,12.238499755800579,0.0,12.238499755800579,12.238499755800579,1
tai25a.dat,15.227679275154722,0.0,15.227679275154722,15.227679275154722,1
tai100b.dat,36.40786496086201,0.0,36.40786496086201,36.40786496086201,1
tai25b.dat,50.04596323650811,0.0,50.04596323650811,50.04596323650811,1
tai64c.dat,11.642693035505689,0.0,11.642693035505689,11.642693035505689,1
tai12a.dat,14.841187794096678,0.0,14.841187794096678,14.841187794096678,1
tai12b.dat,12.478270261504361,0.0,12.478270261504361,12.478270261504361,1
tai50b.dat,42.286760496456836,0.0,42.286760496456836,42.286760496456836,1
tai50a.dat,14.154907390384215,0.0,14.154907390384215,14.154907390384215,1
tai30b.dat,46.41753234463818,0.0,46.41753234463818,46.41753234463818,1
tai30a.dat,13.817812210900554,0.0,13.817812210900554,13.817812210900554,1
tai40a.dat,14.839474162013397,0.0,14.839474162013397,14.839474162013397,1
tai17a.dat,13.202199214333932,0.0,13.202199214333932,13.202199214333932,1
tai256c.dat,12.823616029332365,0.0,12.823616029332365,12.823616029332365,1
tai60b.dat,44.10451208595044,0.0,44.10451208595044,44.10451208595044,1
tai40b.dat,43.18932970814505,0.0,43.18932970814505,43.18932970814505,1
tai60a.dat,14.340236598527719,0.0,14.340236598527719,14.340236598527719,1
tai20a.dat,15.737147503418708,0.0,15.737147503418708,15.737147503418708,1
tai20b.dat,16.775366041878506,0.0,16.775366041878506,16.775366041878506,1
