instance,avg gap,std_dev,max gap,min gap,trials
bur26h.dat,3.6209520165642575,0.0,3.6209520165642575,3.6209520165642575,1
bur26e.dat,4.179934243928627,0.0,4.179934243928627,4.179934243928627,1
bur26d.dat,4.8455665395259375,0.0,4.8455665395259375,4.8455665395259375,1
bur26f.dat,3.9498218423688356,0.0,3.9498218423688356,3.9498218423688356,1
bur26g.dat,3.94792141519389,0.0,3.94792141519389,3.94792141519389,1
bur26c.dat,4.327065975405373,0.0,4.327065975405373,4.327065975405373,1
bur26b.dat,4.723781854299224,0.0,4.723781854299224,4.723781854299224,1
bur26a.dat,3.8430197524448695,0.0,3.8430197524448695,3.8430197524448695,1
